Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20,981.31,4.76,55,2.11,47.9
40,978.91,4.18,57.4,2.81,43.4
60,976.52,3.84,59.8,3.25,28.3
80,974.13,3.62,61.5,3.56,17.4
100,971.74,3.46,62.8,3.71,15.6
120,969.36,3.25,64.1,3.63,15.8
140,966.98,3.08,64.9,3.55,15.1
160,964.61,2.9,65.5,3.53,13.2
180,962.24,2.68,66.3,3.56,10.7
200,959.87,2.5,67,3.63,10.3
220,957.51,2.35,67.5,3.69,10.5
240,955.15,2.18,68.1,3.75,10.1
260,952.8,2.02,68.6,3.75,6.7
280,950.45,1.87,68.9,3.71,3.8
300,948.11,1.71,69.6,3.64,2.7
320,945.77,1.52,71.2,3.55,3.4
340,943.43,1.3,73.1,3.41,6.1
360,941.1,1.04,75.4,3.3,12.4
380,938.78,0.84,77.2,3.13,18.1
400,936.46,0.8,78.8,2.88,21.5
420,934.14,0.94,81.8,2.48,23.5
440,931.84,1.26,86.1,1.88,29.2
460,929.54,1.64,90.8,1.3,38.6
480,927.25,2.02,94.6,0.82,50.1
500,924.97,2.35,96.9,0.53,60.1
520,922.69,2.57,97.8,0.43,39
540,920.43,2.75,98.3,0.6,343.6
560,918.17,2.83,98.6,0.88,274.3
580,915.92,2.81,98.6,1.2,267.5
600,913.67,2.79,98.5,1.42,273
620,911.43,2.76,98.2,1.73,280.9
640,909.19,2.74,97.6,1.97,288.6
660,906.96,2.69,96.9,2.19,294.9
680,904.73,2.6,96.6,2.35,298
700,902.5,2.51,96.7,2.53,297.5
720,900.28,2.44,97.5,2.64,292.9
740,898.07,2.38,98.3,2.72,284.2
760,895.86,2.33,98.6,2.75,279.7
780,893.66,2.26,98.7,2.75,274.3
800,891.46,2.17,98.6,2.76,267.7
820,889.27,2.1,98.3,2.79,266.6
840,887.08,2.05,98,2.84,270.9
860,884.9,2.01,97.4,2.86,275.5
880,882.72,1.96,96.8,2.89,277.3
900,880.55,1.9,96,2.87,277.4
920,878.38,1.85,95.4,2.85,276.5
940,876.22,1.82,94.8,2.78,275.1
960,874.06,1.81,94,2.75,273.8
980,871.91,1.8,93.3,2.69,271.4
