UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
18:26:23, 277, 92, 98364, 0.40, 7.40, 6.45, 52.80,  , 43.083785, -89.433498, 
18:26:26, 185, 0, 98361, 0.50, 194.80, 6.33, 52.60,  ,  ,  , 
18:26:27, 185, 0, 98362, 0.25, 194.80, 6.30, 52.60,  , 43.083755, -89.433485, 
18:26:29, 186, 1, 98350, 0.10, 144.90, 6.22, 52.65,  ,  ,  , 0.1
18:26:30, 187, 2, 98344, 0.10, 144.90, 6.21, 52.65,  , 43.083747, -89.433492, 0.1
18:26:32, 186, 1, 98352, 0.15, 309.00, 6.20, 52.70,  ,  ,  , 0.1
18:26:33, 186, 1, 98356, 0.15, 309.00, 6.21, 52.80,  , 43.083743, -89.433537, 0.1
18:26:35, 185, 0, 98358, 0.05, 309.00, 6.24, 52.90,  ,  ,  , 0
18:26:36, 185, 0, 98360, 0.10, 309.00, 6.27, 52.95,  , 43.083748, -89.433535, 0
18:26:37, 185, 0, 98360, 0.10, 309.00, 6.30, 53.05,  ,  ,  , 0
18:26:38, 185, 0, 98360, 0.05, 309.00, 6.30, 53.10,  ,  ,  , 0
18:26:39, 185, 0, 98360, 0.05, 309.00, 6.32, 53.15,  , 43.083752, -89.433530, 0
18:26:40, 185, 0, 98360, 0.05, 309.00, 6.34, 53.15,  ,  ,  , 0
18:26:41, 185, 0, 98360, 0.05, 309.00, 6.36, 53.10,  ,  ,  , -0.1
18:26:42, 185, 0, 98360, 0.05, 309.00, 6.38, 53.10, 13.75, 43.083752, -89.433520, -0.1
18:26:43, 185, 0, 98360, 0.10, 309.00, 6.41, 53.05,  ,  ,  , -0.1
18:26:44, 185, 0, 98361, 0.10, 309.00, 6.44, 52.95,  ,  ,  , -0.1
18:26:45, 185, 0, 98362, 0.10, 309.00, 6.48, 52.90,  , 43.083752, -89.433517, 0
18:26:46, 185, 0, 98359, 0.05, 309.00, 6.51, 52.85,  ,  ,  , 0
18:26:47, 186, 1, 98357, 0.05, 309.00, 6.56, 52.80,  ,  ,  , 0
18:26:48, 186, 1, 98356, 0.05, 309.00, 6.61, 52.85,  , 43.083755, -89.433513, 0
18:26:49, 186, 1, 98357, 0.05, 309.00, 6.65, 52.90,  ,  ,  , 0
18:26:50, 185, 0, 98359, 0.20, 309.00, 6.68, 52.90,  ,  ,  , 0
18:26:51, 185, 0, 98362, 0.25, 309.00, 6.73, 52.85,  , 43.083760, -89.433512, 0
18:26:52, 185, 0, 98362, 0.25, 309.00, 6.77, 52.90,  ,  ,  , 0
18:26:53, 185, 0, 98362, 0.10, 309.00, 6.81, 53.30,  ,  ,  , 0
18:26:54, 185, 0, 98362, 0.10, 309.00, 6.87, 53.50,  , 43.083763, -89.433512, 0
18:26:55, 185, 0, 98362, 0.10, 309.00, 6.89, 53.55,  ,  ,  , 0
18:26:56, 185, 0, 98363, 0.10, 309.00, 6.89, 53.50,  ,  ,  , 0
18:26:57, 185, 0, 98364, 0.10, 309.00, 6.89, 53.35,  , 43.083765, -89.433515, 0
18:26:58, 185, 0, 98361, 0.05, 309.00, 6.89, 53.25,  ,  ,  , 0
18:26:59, 185, 0, 98359, 0.15, 309.00, 6.89, 53.00,  ,  ,  , 0
18:27:00, 186, 1, 98358, 0.15, 309.00, 6.89, 52.80,  , 43.083765, -89.433507, 0
18:27:01, 185, 0, 98359, 0.15, 309.00, 6.89, 52.65,  ,  ,  , 0
18:27:02, 185, 0, 98360, 0.10, 309.00, 6.89, 52.50,  ,  ,  , 0
18:27:03, 185, 0, 98362, 0.10, 309.00, 6.83, 52.35,  , 43.083767, -89.433507, 0
18:27:05, 185, 0, 98362, 0.10, 309.00, 6.73, 52.00,  ,  ,  , 0
18:27:06, 185, 0, 98362, 0.10, 309.00, 6.62, 51.85,  , 43.083770, -89.433498, 0
18:27:07, 185, 0, 98362, 0.25, 309.00, 6.53, 51.80,  ,  ,  , 0
18:27:08, 185, 0, 98362, 0.25, 309.00, 6.48, 51.65,  ,  ,  , 0
18:27:09, 185, 0, 98362, 0.20, 309.00, 6.45, 51.65, 14.25, 43.083772, -89.433492, 0
18:27:10, 185, 0, 98358, 0.15, 309.00, 6.44, 51.70,  ,  ,  , 0
18:27:11, 186, 1, 98354, 0.10, 309.00, 6.44, 51.70,  ,  ,  , 0.1
18:27:12, 186, 1, 98350, 0.10, 309.00, 6.44, 51.75,  , 43.083770, -89.433490, 0.1
