# Radiation correction v2.2. Params: lat=43.0878, lon=-89.4238, utc_time=2026-03-03 19:49
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 987.25,  ,  ,  ,  
40, 984.85,  ,  ,  ,  
60, 982.45, 4.11, 67.5, 0.00,  
80, 980.04, 4.20, 66.7, 2.94, 14.6
100, 977.65, 4.44, 65.0, 3.06, 14.5
120, 975.26, 4.60, 63.1, 3.24, 17.9
140, 972.87, 4.44, 62.4, 3.40, 22.9
160, 970.50, 4.26, 62.5, 3.52, 25.6
180, 968.12, 4.10, 63.0, 3.62, 28.8
200, 965.75, 3.94, 63.5, 3.66, 31.2
220, 963.39, 3.77, 64.0, 3.70, 32.3
240, 961.03, 3.60, 64.6, 3.72, 32.6
260, 958.67, 3.42, 65.1, 3.78, 32.8
280, 956.32, 3.24, 65.7, 3.83, 33.5
300, 953.98, 3.08, 66.3, 3.92, 34.0
320, 951.63, 2.90, 67.1, 3.98, 32.2
340, 949.30, 2.69, 68.0, 4.12, 30.9
360, 946.96, 2.54, 68.8, 4.27, 32.4
380, 944.63, 2.42, 69.6, 4.44, 33.7
400, 942.31, 2.33, 71.4, 4.54, 33.4
420, 939.99, 2.38, 74.9, 4.59, 32.9
440, 937.68, 2.46, 77.8, 4.52, 32.4
460, 935.37, 2.48, 80.7, 4.27, 30.5
480, 933.07, 2.37, 83.0, 3.96, 28.5
500, 930.78, 2.39, 84.9, 3.61, 27.7
520, 928.49, 2.52, 87.1, 3.49, 24.2
540, 926.21, 3.06, 90.2, 3.56, 13.1
560, 923.94, 3.47, 91.3, 3.91, 7.5
580, 921.68, 3.59, 90.7, 4.22, 6.5
600, 919.42, 3.63, 89.9, 4.37, 5.2
620, 917.17, 3.55, 90.1, 4.56, 5.0
640, 914.93, 3.42, 90.8, 4.60, 3.9
660, 912.68, 3.34, 91.0, 4.59, 2.9
680, 910.45, 3.28, 90.9, 4.57, 0.8
700, 908.22, 3.18, 91.1, 4.46, 357.1
720, 905.99, 3.17, 91.3, 4.33, 354.5
740, 903.77, 3.18, 91.1, 4.19, 353.7
760, 901.55, 3.16, 90.9, 4.09, 352.0
780, 899.34, 3.11, 90.9, 3.95, 350.1
800, 897.14, 3.04, 90.9, 3.81, 349.9
820, 894.95, 2.94, 90.7, 3.64, 352.7
840, 892.75, 2.93, 90.0, 3.56, 353.9
860, 890.57, 3.01, 88.7, 3.51, 354.0
880, 888.39, 3.12, 86.9, 3.38, 354.9
900, 886.21, 3.31, 85.6, 3.22, 352.2
920, 884.04, 3.70, 84.7, 3.07, 338.1
940, 881.88, 4.15, 84.2, 2.92, 321.2
960, 879.73, 4.37, 83.8, 2.88, 312.3
980, 877.58, 4.34, 83.7, 2.97, 310.6
