# Radiation correction v2.2. Params: lat=43.0497, lon=-89.4115, utc_time=2026-03-10 19:43
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 971.48, 10.57, 52.3, 0.00,  
40, 969.16, 9.84, 53.5, 6.08, 62.9
60, 966.84, 9.37, 54.6, 6.73, 59.7
80, 964.52, 8.97, 55.8, 7.31, 59.7
100, 962.20, 8.75, 56.7, 7.82, 61.8
120, 959.88, 8.58, 57.2, 8.16, 63.5
140, 957.57, 8.34, 57.9, 8.28, 64.6
160, 955.27, 8.11, 58.6, 8.35, 64.8
180, 952.97, 7.95, 59.1, 8.42, 65.1
200, 950.67, 7.79, 59.7, 8.44, 65.5
220, 948.38, 7.62, 60.2, 8.48, 65.9
240, 946.09, 7.47, 60.7, 8.48, 66.2
260, 943.80, 7.32, 61.3, 8.49, 67.5
280, 941.52, 7.19, 61.8, 8.52, 68.8
300, 939.24, 7.02, 62.3, 8.58, 70.2
320, 936.97, 6.80, 63.0, 8.64, 71.0
340, 934.70, 6.64, 63.5, 8.75, 72.9
360, 932.44, 6.44, 64.1, 8.83, 74.2
380, 930.18, 6.19, 64.7, 8.89, 75.1
400, 927.92, 5.95, 65.6, 8.90, 74.9
420, 925.67, 5.76, 66.5, 8.90, 74.2
440, 923.42, 5.62, 67.2, 8.85, 73.9
460, 921.17, 5.46, 67.8, 8.81, 74.5
480, 918.93, 5.30, 68.4, 8.72, 74.8
500, 916.69, 5.12, 69.0, 8.66, 74.1
520, 914.46, 4.99, 69.6, 8.66, 73.4
540, 912.23, 4.83, 70.4, 8.77, 73.3
560, 910.00, 4.67, 71.5, 8.93, 74.8
580, 907.78, 4.53, 72.5, 9.13, 76.1
600, 905.57, 4.36, 73.8, 9.31, 78.5
620, 903.36, 4.19, 75.6, 9.45, 82.2
640, 901.16, 4.11, 77.5, 9.49, 85.8
660, 898.96, 4.07, 79.3, 9.50, 87.7
680, 896.77, 4.05, 81.9, 9.33, 90.3
700, 894.58, 4.12, 84.6, 9.07, 93.7
720, 892.40, 4.43, 88.0, 8.77, 98.8
740, 890.22, 4.86, 91.1, 8.64, 105.1
760, 888.06, 5.18, 92.9, 8.61, 110.8
780, 885.90, 5.43, 94.0, 8.75, 117.3
800, 883.75, 5.43, 94.2, 8.70, 121.3
820, 881.60, 5.64, 94.7, 8.60, 120.7
840, 879.46, 6.10, 95.5, 8.48, 118.2
860, 877.34, 6.63, 96.0, 8.51, 116.1
880, 875.22, 6.95, 95.8, 8.68, 116.6
900, 873.11, 7.12, 95.3, 9.20, 116.1
920, 871.00, 7.48, 92.8, 9.51, 115.1
940, 868.90, 7.98, 88.6, 9.66, 116.4
960, 866.82, 8.79, 81.2, 9.40, 122.0
980, 864.74, 10.02, 70.2, 9.02, 134.7
1000, 862.68, 10.68, 66.3, 8.48, 142.1
1020, 860.62, 11.15, 64.6, 8.36, 148.4
1040, 858.57, 11.44, 63.1, 8.36, 153.7
1060, 856.53, 11.33, 62.8, 8.44, 156.2
1080, 854.49, 11.15, 63.4, 8.59, 159.5
1100, 852.46, 11.13, 63.7, 8.96, 163.5
1120, 850.43, 11.40, 62.3, 9.48, 171.4
1140, 848.41, 11.80, 59.1, 10.08, 178.6
1160, 846.39, 12.10, 56.6, 10.52, 180.8
1180, 844.38, 12.32, 54.6, 10.73, 182.6
